+--------+------------+------------+----------+----------+----------+----------+----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+----------+----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+-----------+-----------+----------+-----------+----------+----------+----------+----------+----------+----------+----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+
| source |    sum     |    SIL     |   SPN    |    AA    |   AA0    |   AA1    |   AA2    |    AE    |   AE0    |    AE1    |   AE2    |    AH    |    AH0    |    AH1    |   AH2    |    AO    |   AO0    |   AO1    |   AO2    |    AW    |   AW0    |   AW1    |   AW2    |    AY    |   AY0    |   AY1    |   AY2    |    B     |    CH    |     D     |     DH    |    EH    |   EH0    |    EH1    |   EH2    |    ER    |    ER0    |   ER1    |   ER2    |    EY    |   EY0    |   EY1    |   EY2    |    F     |    G     |    HH    |    IH    |    IH0    |    IH1    |   IH2    |    IY    |    IY0    |    IY1    |   IY2    |    JH    |     K     |     L     |     M     |     N     |     NG    |    OW    |   OW0    |   OW1    |   OW2    |    OY    |   OY0    |   OY1    |   OY2    |    P     |     R     |     S     |    SH    |     T     |    TH    |    UH    |   UH0    |   UH1    |   UH2    |    UW    |   UW0    |    UW1    |   UW2    |     V     |    W     |    Y     |     Z     |    ZH    |  final   |
|  AE1   | 107.581597 |  0.013213  | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 |  0.013213 | 0.013213 | 0.013213 |  0.013213 |  0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.948561 | 0.782559 | 11.402522 |  0.369422 | 0.013213 | 0.013213 |  0.013213 | 0.013213 | 0.013213 |  0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 3.010008 | 0.904223 | 0.019245 | 0.013213 |  0.013213 |  0.013213 | 0.013213 | 0.013213 |  0.013213 |  0.013213 | 0.013213 | 0.580047 |  4.895567 |  2.601246 |  3.014737 | 27.778229 |  2.224910 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 3.341977 |  0.078161 |  6.161778 | 0.799786 | 20.513708 | 0.477809 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 | 0.013213 |  0.013213 | 0.013213 |  6.138042 | 0.013213 | 0.013213 | 10.619770 | 0.060453 | 0.013213 |
|  AE2   | 38.654487  |  0.010607  | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 |  0.010607 | 0.010607 | 0.010607 |  0.010607 |  0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 2.216627 | 0.666583 |  2.875175 |  0.010607 | 0.010607 | 0.010607 |  0.010607 | 0.010607 | 0.010607 |  0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 3.537367 | 0.236329 | 0.010607 | 0.010607 |  0.010607 |  0.010607 | 0.010607 | 0.010607 |  0.010607 |  0.010607 | 0.010607 | 1.986791 |  3.440240 |  1.566210 |  2.694825 |  7.135111 |  0.614928 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 2.801912 |  0.614078 |  2.747039 | 0.558505 |  2.568128 | 0.451140 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 | 0.010607 |  0.010607 | 0.010607 |  0.415676 | 0.010607 | 0.010607 |  0.806518 | 0.010607 | 0.010607 |
|   AH   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
|  AH0   | 158.250748 |  1.300338  | 0.154538 | 0.016568 | 0.017190 | 0.021104 | 0.017167 | 0.016568 | 0.016688 |  0.037282 | 0.018013 | 0.016568 |  0.033821 |  0.040002 | 0.019667 | 0.016568 | 0.018912 | 0.020921 | 0.016757 | 0.016568 | 0.016607 | 0.019316 | 0.016570 | 0.016568 | 0.017886 | 0.025594 | 0.016565 | 6.976904 | 0.627203 |  6.119327 |  0.045180 | 0.016568 | 0.017264 |  0.019164 | 0.019223 | 0.016568 |  0.018351 | 0.019834 | 0.016568 | 0.016568 | 0.016568 | 0.018753 | 0.016567 | 4.643951 | 4.168418 | 2.202952 | 0.016568 |  0.029983 |  0.023300 | 0.018400 | 0.016568 |  0.017331 |  0.019076 | 0.016601 | 1.172945 |  6.106244 | 17.490162 |  8.803696 | 43.706917 |  0.023996 | 0.016568 | 0.018315 | 0.022258 | 0.016567 | 0.016568 | 0.016568 | 0.017709 | 0.016568 | 6.595066 |  2.124115 | 13.214028 | 0.734208 |  8.745452 | 0.688961 | 0.016568 | 0.017307 | 0.016568 | 0.016568 | 0.016568 | 0.016568 |  0.017350 | 0.016568 | 16.855757 | 3.319603 | 0.178841 |  1.060279 | 0.022909 | 0.034291 |
|  AH1   | 109.507747 |  0.030656  | 0.013224 | 0.013220 | 0.013201 | 0.013061 | 0.013204 | 0.013220 | 0.013178 |  0.012997 | 0.013177 | 0.013220 |  0.017088 |  0.012990 | 0.013200 | 0.013220 | 0.013219 | 0.013031 | 0.013218 | 0.013220 | 0.013218 | 0.013164 | 0.013220 | 0.013220 | 0.013171 | 0.013151 | 0.013218 | 1.946281 | 4.335782 |  1.477182 |  6.156326 | 0.013220 | 0.013309 |  0.012903 | 0.013174 | 0.013220 |  0.013203 | 0.013155 | 0.013220 | 0.013220 | 0.013190 | 0.013167 | 0.013210 | 1.784384 | 0.608529 | 0.016567 | 0.013220 |  0.013002 |  0.013093 | 0.013131 | 0.013220 |  0.013215 |  0.013101 | 0.013219 | 0.349353 |  1.491634 |  1.635009 | 10.842244 | 16.465773 |  3.877754 | 0.013220 | 0.013215 | 0.012968 | 0.013219 | 0.013220 | 0.013220 | 0.013232 | 0.013220 | 4.537511 |  0.038030 |  6.853195 | 0.839789 | 15.721609 | 1.273426 | 0.013220 | 0.013220 | 0.013220 | 0.013220 | 0.013220 | 0.013220 |  0.013220 | 0.013220 |  5.405116 | 0.012734 | 0.013358 | 22.960699 | 0.013220 | 0.013680 |
|  AH2   | 36.931095  |  0.011908  | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 |  0.011908 | 0.011908 | 0.011908 |  0.011908 |  0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.398442 | 0.011908 |  0.112025 |  0.949920 | 0.011908 | 0.011908 |  0.011908 | 0.011908 | 0.011908 |  0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.251307 | 0.251328 | 0.011908 | 0.011908 |  0.011908 |  0.011908 | 0.011908 | 0.011908 |  0.011908 |  0.011908 | 0.011908 | 0.011908 |  0.863302 |  0.821759 |  2.975877 | 24.261465 |  0.110722 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.617593 |  0.011908 |  0.845677 | 0.238474 |  3.363949 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 | 0.011908 |  0.011908 | 0.011908 |  0.011908 | 0.011908 | 0.011908 |  0.011908 | 0.011908 | 0.011908 |
|   AO   | 87.000000  |  1.000000  | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |  1.000000 | 1.000000 | 1.000000 |
|  AO0   | 48.193959  |  0.281379  | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 |  0.017891 | 0.017891 | 0.017891 |  0.017891 |  0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.042448 | 0.017891 | 0.129657 | 0.017891 |  0.130152 |  0.029814 | 0.017891 | 0.017891 |  0.018638 | 0.017891 | 0.017891 |  0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.127747 | 0.378032 | 0.017891 | 0.017891 |  0.017891 |  0.017891 | 0.017891 | 0.017891 |  0.017891 |  0.017891 | 0.017891 | 0.303421 |  0.125738 |  1.484810 |  0.186447 |  0.504295 |  0.593669 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 41.504333 |  0.560827 | 0.017891 |  0.271542 | 0.182596 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 | 0.017891 |  0.017891 | 0.017891 |  0.017891 | 0.121828 | 0.017891 |  0.017891 | 0.017891 | 0.017891 |
|  AO1   | 86.318430  |  0.375914  | 0.028775 | 0.012363 | 0.012363 | 0.022981 | 0.012363 | 0.012363 | 0.012363 |  0.048925 | 0.019347 | 0.012363 |  0.159018 |  0.025625 | 0.012363 | 0.012363 | 0.012363 | 0.018093 | 0.012363 | 0.012363 | 0.012363 | 0.027441 | 0.012363 | 0.012363 | 0.012363 | 0.013034 | 0.012363 | 0.087281 | 0.154701 |  0.565499 |  0.340719 | 0.012363 | 0.012370 |  0.020353 | 0.012363 | 0.012363 |  0.012363 | 0.012363 | 0.012363 | 0.012363 | 0.012363 | 0.020158 | 0.012363 | 3.666145 | 0.420828 | 0.236016 | 0.012363 |  0.291826 |  0.012967 | 0.012363 | 0.012363 |  0.012469 |  0.017361 | 0.012363 | 0.029609 |  1.900473 | 16.662153 |  0.096961 |  4.123845 |  4.503566 | 0.012363 | 0.012363 | 0.019416 | 0.012363 | 0.012363 | 0.012363 | 0.012363 | 0.012363 | 0.062175 | 42.154789 |  2.047411 | 0.117259 |  5.800019 | 0.152106 | 0.012363 | 0.012363 | 0.012363 | 0.012363 | 0.012363 | 0.012363 |  0.012363 | 0.012363 |  0.029199 | 0.079512 | 0.062856 |  1.298785 | 0.012363 | 0.024111 |
|  AO2   | 41.926527  |  0.317190  | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 |  0.014324 | 0.013319 | 0.013319 |  0.120456 |  0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.357304 | 0.013319 |  0.214419 |  0.088800 | 0.013319 | 0.013319 |  0.013319 | 0.013319 | 0.013319 |  0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.789534 | 0.822974 | 0.204625 | 0.013319 |  0.034273 |  0.013319 | 0.013319 | 0.013319 |  0.013319 |  0.013319 | 0.013319 | 0.013319 |  0.496888 |  9.111934 |  0.070404 |  0.633845 |  0.471110 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.189672 | 23.886311 |  0.711477 | 0.021187 |  1.113040 | 0.285276 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 | 0.013319 |  0.013319 | 0.013319 |  0.816612 | 0.074254 | 0.013319 |  0.240601 | 0.013319 | 0.014245 |
