+--------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| source |   sum    |  <sil>   |  <unk>   |    AA    |    AE    |    AH    |    AO    |    AW    |    AY    |    B     |    CH    |    D     |    DH    |    EH    |    ER    |    EY    |    F     |    G     |    HH    |    IH    |    IY    |    JH    |    K     |    L     |    M     |    N     |    NG    |    OW    |    OY    |    P     |    R     |    S     |    SH    |    T     |    TH    |    UH    |    UW    |    V     |    W     |    Y     |    Z     |    ZH    |  final   |
|   ER   | 1.000000 | 0.280549 | 0.000268 | 0.000154 | 0.007849 | 0.035489 | 0.002688 | 0.015706 | 0.000823 | 0.083093 | 0.000359 | 0.014183 | 0.036008 | 0.004976 | 0.000936 | 0.000597 | 0.014033 | 0.013476 | 0.017424 | 0.074573 | 0.003359 | 0.002743 | 0.017057 | 0.004303 | 0.007562 | 0.078325 | 0.000024 | 0.000240 | 0.000024 | 0.016871 | 0.000499 | 0.102028 | 0.000723 | 0.014976 | 0.001184 | 0.000024 | 0.000028 | 0.001889 | 0.012081 | 0.007095 | 0.013313 | 0.000024 | 0.112442 |
|   EY   | 1.000000 | 0.258802 | 0.000393 | 0.002173 | 0.000777 | 0.002500 | 0.000365 | 0.004135 | 0.007665 | 0.031320 | 0.000410 | 0.015907 | 0.002894 | 0.000304 | 0.005819 | 0.000038 | 0.027393 | 0.003593 | 0.001373 | 0.008732 | 0.000240 | 0.001890 | 0.126806 | 0.017411 | 0.120962 | 0.023652 | 0.000035 | 0.000730 | 0.000035 | 0.003163 | 0.000068 | 0.040183 | 0.007615 | 0.142589 | 0.000973 | 0.000035 | 0.000140 | 0.061306 | 0.003289 | 0.003545 | 0.008307 | 0.001745 | 0.060688 |
|   F    | 1.000000 | 0.009004 | 0.000068 | 0.002312 | 0.003138 | 0.015358 | 0.145805 | 0.003619 | 0.520621 | 0.000191 | 0.000026 | 0.000236 | 0.007062 | 0.002102 | 0.149674 | 0.001324 | 0.000075 | 0.000320 | 0.000468 | 0.011139 | 0.008784 | 0.000026 | 0.000331 | 0.034114 | 0.000043 | 0.000215 | 0.000025 | 0.002349 | 0.000154 | 0.000314 | 0.034578 | 0.000678 | 0.000096 | 0.024321 | 0.000182 | 0.004884 | 0.000365 | 0.000025 | 0.002795 | 0.005652 | 0.000025 | 0.000025 | 0.007477 |
|   G    | 1.000000 | 0.007384 | 0.000293 | 0.145911 | 0.000908 | 0.009474 | 0.002172 | 0.002186 | 0.007445 | 0.000104 | 0.000044 | 0.000864 | 0.001937 | 0.104196 | 0.003531 | 0.061870 | 0.000395 | 0.000134 | 0.000919 | 0.051074 | 0.000934 | 0.000128 | 0.000246 | 0.001065 | 0.000032 | 0.002208 | 0.000026 | 0.463625 | 0.000026 | 0.000166 | 0.040373 | 0.000033 | 0.000026 | 0.000399 | 0.000090 | 0.030647 | 0.000359 | 0.000026 | 0.030120 | 0.002117 | 0.021599 | 0.000026 | 0.004887 |
|   HH   | 1.000000 | 0.000027 | 0.000027 | 0.014920 | 0.350215 | 0.022323 | 0.004316 | 0.087261 | 0.015314 | 0.000027 | 0.000027 | 0.000027 | 0.000027 | 0.094661 | 0.036589 | 0.006169 | 0.000027 | 0.000027 | 0.000027 | 0.007304 | 0.245886 | 0.000027 | 0.000027 | 0.000027 | 0.000027 | 0.000027 | 0.000027 | 0.094950 | 0.000027 | 0.000027 | 0.000027 | 0.000027 | 0.000027 | 0.000027 | 0.000027 | 0.000389 | 0.018399 | 0.000027 | 0.000037 | 0.000567 | 0.000027 | 0.000027 | 0.000027 |
|   IH   | 1.000000 | 0.000022 | 0.000030 | 0.000021 | 0.000022 | 0.000102 | 0.000021 | 0.000025 | 0.000021 | 0.000024 | 0.031575 | 0.028690 | 0.000293 | 0.000028 | 0.000021 | 0.000021 | 0.007234 | 0.003197 | 0.001676 | 0.000021 | 0.000029 | 0.011903 | 0.071860 | 0.014003 | 0.015483 | 0.224076 | 0.286936 | 0.000048 | 0.000021 | 0.004190 | 0.007275 | 0.080130 | 0.011028 | 0.081329 | 0.015891 | 0.000021 | 0.000021 | 0.031732 | 0.000062 | 0.000023 | 0.070704 | 0.000171 | 0.000021 |
|   IY   | 1.000000 | 0.186516 | 0.000839 | 0.001418 | 0.005842 | 0.028288 | 0.005511 | 0.004839 | 0.003353 | 0.004898 | 0.002963 | 0.030417 | 0.034092 | 0.007667 | 0.006881 | 0.003675 | 0.014598 | 0.039517 | 0.045430 | 0.035270 | 0.000360 | 0.001951 | 0.012602 | 0.021066 | 0.025584 | 0.032646 | 0.000024 | 0.182057 | 0.000024 | 0.026657 | 0.079424 | 0.013551 | 0.002417 | 0.024405 | 0.007806 | 0.000024 | 0.000200 | 0.024761 | 0.022359 | 0.002432 | 0.015706 | 0.000024 | 0.041905 |
|   JH   | 1.000000 | 0.105431 | 0.000653 | 0.026629 | 0.001595 | 0.036169 | 0.005637 | 0.000033 | 0.004596 | 0.004635 | 0.000033 | 0.025687 | 0.006770 | 0.013666 | 0.137772 | 0.006021 | 0.008080 | 0.000966 | 0.014061 | 0.446908 | 0.032505 | 0.000033 | 0.004026 | 0.000695 | 0.000819 | 0.000561 | 0.000033 | 0.005663 | 0.009454 | 0.001025 | 0.000745 | 0.002012 | 0.000983 | 0.061751 | 0.000512 | 0.000033 | 0.002513 | 0.000033 | 0.001379 | 0.001112 | 0.000033 | 0.000033 | 0.028707 |
|   K    | 1.000000 | 0.083672 | 0.000114 | 0.056271 | 0.027792 | 0.084660 | 0.018978 | 0.011828 | 0.005474 | 0.000800 | 0.002325 | 0.000908 | 0.021667 | 0.009864 | 0.007039 | 0.109170 | 0.001610 | 0.001422 | 0.003213 | 0.194613 | 0.007558 | 0.000320 | 0.000270 | 0.016119 | 0.005253 | 0.000556 | 0.000026 | 0.000747 | 0.000026 | 0.000114 | 0.006163 | 0.187087 | 0.034387 | 0.037030 | 0.000662 | 0.004163 | 0.007093 | 0.000079 | 0.015861 | 0.015882 | 0.000026 | 0.000026 | 0.019127 |
|   L    | 1.000000 | 0.103580 | 0.000261 | 0.014545 | 0.019558 | 0.021462 | 0.005701 | 0.003496 | 0.036494 | 0.034123 | 0.001245 | 0.019959 | 0.011714 | 0.036479 | 0.001557 | 0.031049 | 0.044866 | 0.006740 | 0.008028 | 0.157252 | 0.089543 | 0.002009 | 0.002119 | 0.000209 | 0.009410 | 0.000881 | 0.000025 | 0.069663 | 0.000025 | 0.007567 | 0.126283 | 0.026082 | 0.000559 | 0.010631 | 0.000661 | 0.026886 | 0.017904 | 0.004858 | 0.007007 | 0.003501 | 0.012240 | 0.000025 | 0.023803 |
|   M    | 1.000000 | 0.246366 | 0.000140 | 0.001009 | 0.060582 | 0.028504 | 0.048062 | 0.008272 | 0.055422 | 0.004531 | 0.000990 | 0.000689 | 0.003030 | 0.004194 | 0.001338 | 0.022250 | 0.001120 | 0.103842 | 0.005215 | 0.040801 | 0.132073 | 0.003734 | 0.000220 | 0.000627 | 0.000193 | 0.000349 | 0.000020 | 0.091607 | 0.000020 | 0.008078 | 0.005225 | 0.003667 | 0.000083 | 0.000561 | 0.002267 | 0.000020 | 0.053096 | 0.000154 | 0.007870 | 0.000491 | 0.010719 | 0.000020 | 0.042550 |
|   N    | 1.000000 | 0.155207 | 0.000162 | 0.011316 | 0.003255 | 0.047389 | 0.001602 | 0.031433 | 0.009591 | 0.001499 | 0.000966 | 0.146892 | 0.132637 | 0.022839 | 0.004913 | 0.001089 | 0.011571 | 0.005209 | 0.005671 | 0.068934 | 0.011964 | 0.004776 | 0.001898 | 0.002681 | 0.003767 | 0.000185 | 0.000024 | 0.026927 | 0.000296 | 0.010258 | 0.000905 | 0.010959 | 0.003821 | 0.191057 | 0.000854 | 0.000024 | 0.008358 | 0.002384 | 0.003505 | 0.010522 | 0.008558 | 0.000024 | 0.034079 |
|   NG   | 1.000000 | 0.185803 | 0.000283 | 0.001573 | 0.008060 | 0.016699 | 0.012826 | 0.022688 | 0.001201 | 0.000455 | 0.000024 | 0.000659 | 0.052532 | 0.001891 | 0.001258 | 0.000327 | 0.035910 | 0.029284 | 0.003293 | 0.034382 | 0.000376 | 0.000239 | 0.059689 | 0.000972 | 0.009052 | 0.000456 | 0.000018 | 0.000453 | 0.000018 | 0.001414 | 0.184690 | 0.001710 | 0.000081 | 0.295729 | 0.003345 | 0.000018 | 0.000040 | 0.000458 | 0.009462 | 0.001049 | 0.004490 | 0.000018 | 0.017073 |
|   OW   | 1.000000 | 0.314222 | 0.000066 | 0.000135 | 0.000177 | 0.007629 | 0.000414 | 0.000263 | 0.015356 | 0.000855 | 0.001017 | 0.001236 | 0.013117 | 0.000119 | 0.000195 | 0.001760 | 0.002666 | 0.000901 | 0.000433 | 0.140213 | 0.000029 | 0.000140 | 0.145778 | 0.054694 | 0.112278 | 0.016232 | 0.000023 | 0.000151 | 0.000023 | 0.015251 | 0.000036 | 0.016485 | 0.000409 | 0.001715 | 0.009455 | 0.000023 | 0.000102 | 0.073260 | 0.016081 | 0.003475 | 0.006671 | 0.018979 | 0.007938 |
|   OY   | 1.000000 | 0.010259 | 0.000388 | 0.000030 | 0.000109 | 0.000354 | 0.000561 | 0.002843 | 0.000086 | 0.000030 | 0.000030 | 0.003040 | 0.001926 | 0.000030 | 0.000461 | 0.000030 | 0.000220 | 0.000030 | 0.000304 | 0.002335 | 0.000030 | 0.000429 | 0.000030 | 0.006776 | 0.000031 | 0.956342 | 0.000030 | 0.000201 | 0.000030 | 0.000030 | 0.000030 | 0.001802 | 0.000030 | 0.000030 | 0.000030 | 0.000030 | 0.000371 | 0.000030 | 0.000701 | 0.000080 | 0.002648 | 0.000030 | 0.007185 |
|   P    | 1.000000 | 0.034647 | 0.000120 | 0.017368 | 0.003251 | 0.081329 | 0.008520 | 0.001636 | 0.001457 | 0.000599 | 0.000296 | 0.005820 | 0.008005 | 0.019894 | 0.129334 | 0.006709 | 0.006742 | 0.002236 | 0.001364 | 0.031086 | 0.099860 | 0.000489 | 0.000414 | 0.088644 | 0.001394 | 0.000293 | 0.000024 | 0.002886 | 0.253505 | 0.000083 | 0.086218 | 0.007472 | 0.000574 | 0.009496 | 0.000551 | 0.069540 | 0.000894 | 0.000024 | 0.001776 | 0.001556 | 0.000024 | 0.000024 | 0.013850 |
|   R    | 1.000000 | 0.111457 | 0.000097 | 0.100249 | 0.005670 | 0.033559 | 0.001617 | 0.001209 | 0.089546 | 0.000915 | 0.001115 | 0.018884 | 0.010273 | 0.086902 | 0.001445 | 0.008717 | 0.017063 | 0.001498 | 0.000625 | 0.034815 | 0.082557 | 0.000281 | 0.000735 | 0.000612 | 0.003499 | 0.002832 | 0.000023 | 0.124124 | 0.000333 | 0.002786 | 0.000141 | 0.003295 | 0.000858 | 0.012868 | 0.000935 | 0.000137 | 0.161205 | 0.000187 | 0.007823 | 0.002661 | 0.037989 | 0.000023 | 0.028441 |
|   S    | 1.000000 | 0.136110 | 0.000249 | 0.007953 | 0.001581 | 0.116731 | 0.005735 | 0.002917 | 0.018078 | 0.000901 | 0.000501 | 0.001366 | 0.003759 | 0.022099 | 0.003198 | 0.024668 | 0.005112 | 0.007257 | 0.002220 | 0.059021 | 0.024990 | 0.002365 | 0.006575 | 0.012513 | 0.096052 | 0.002123 | 0.000021 | 0.096175 | 0.000021 | 0.062533 | 0.002122 | 0.000387 | 0.000125 | 0.237468 | 0.000300 | 0.000077 | 0.002323 | 0.001933 | 0.009810 | 0.001639 | 0.000021 | 0.000021 | 0.020951 |
|   SH   | 1.000000 | 0.029763 | 0.000751 | 0.004034 | 0.002200 | 0.552733 | 0.007873 | 0.005181 | 0.002000 | 0.001358 | 0.000031 | 0.000224 | 0.084128 | 0.007238 | 0.003766 | 0.003765 | 0.002506 | 0.000441 | 0.000095 | 0.073801 | 0.035643 | 0.000031 | 0.000031 | 0.000585 | 0.000416 | 0.000599 | 0.000031 | 0.006164 | 0.000031 | 0.000966 | 0.000031 | 0.007476 | 0.000031 | 0.012771 | 0.000532 | 0.124843 | 0.011817 | 0.000031 | 0.002969 | 0.002193 | 0.000031 | 0.000031 | 0.010859 |
|   T    | 1.000000 | 0.243507 | 0.000144 | 0.006811 | 0.005880 | 0.129432 | 0.014590 | 0.010986 | 0.010801 | 0.004425 | 0.000129 | 0.001867 | 0.020811 | 0.008287 | 0.068482 | 0.014205 | 0.001337 | 0.005264 | 0.003887 | 0.070383 | 0.005179 | 0.000349 | 0.001054 | 0.010708 | 0.004265 | 0.001458 | 0.000024 | 0.002150 | 0.000476 | 0.001757 | 0.016033 | 0.083311 | 0.000425 | 0.000074 | 0.000522 | 0.000712 | 0.203982 | 0.000193 | 0.015467 | 0.002818 | 0.000024 | 0.000024 | 0.027769 |
|   TH   | 1.000000 | 0.111399 | 0.000317 | 0.001087 | 0.041487 | 0.014430 | 0.004436 | 0.001799 | 0.000846 | 0.000743 | 0.000053 | 0.000066 | 0.057059 | 0.000723 | 0.006372 | 0.000580 | 0.000777 | 0.000697 | 0.002464 | 0.155153 | 0.000454 | 0.000376 | 0.000393 | 0.000764 | 0.020510 | 0.000396 | 0.000027 | 0.000541 | 0.000027 | 0.000773 | 0.532852 | 0.002955 | 0.000293 | 0.001237 | 0.000084 | 0.000027 | 0.000027 | 0.000158 | 0.004719 | 0.004241 | 0.000027 | 0.000027 | 0.028604 |
|   UH   | 1.000000 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.274242 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.188050 | 0.024039 | 0.036543 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000553 | 0.173299 | 0.000031 | 0.001958 | 0.300245 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 | 0.000031 |
|   UW   | 1.000000 | 0.236851 | 0.000382 | 0.001393 | 0.003006 | 0.006223 | 0.000928 | 0.001137 | 0.002174 | 0.012737 | 0.008022 | 0.009243 | 0.091519 | 0.004210 | 0.000573 | 0.001414 | 0.003897 | 0.040162 | 0.012428 | 0.016580 | 0.000331 | 0.002143 | 0.008878 | 0.007718 | 0.272704 | 0.006957 | 0.000019 | 0.000618 | 0.000019 | 0.027914 | 0.020780 | 0.025116 | 0.001356 | 0.014837 | 0.003970 | 0.000019 | 0.000060 | 0.070850 | 0.010896 | 0.019536 | 0.019953 | 0.000259 | 0.032193 |
|   V    | 1.000000 | 0.153135 | 0.000234 | 0.000509 | 0.002938 | 0.055674 | 0.001650 | 0.000810 | 0.001913 | 0.002168 | 0.000080 | 0.012291 | 0.075004 | 0.009996 | 0.132310 | 0.000620 | 0.005351 | 0.017535 | 0.006702 | 0.258113 | 0.004676 | 0.000527 | 0.000483 | 0.001066 | 0.011391 | 0.000193 | 0.000024 | 0.190671 | 0.000365 | 0.000725 | 0.004428 | 0.006179 | 0.000040 | 0.006127 | 0.000628 | 0.000024 | 0.000267 | 0.000031 | 0.005192 | 0.002704 | 0.004019 | 0.000024 | 0.023183 |
|   W    | 1.000000 | 0.000024 | 0.000024 | 0.029059 | 0.000024 | 0.296694 | 0.088530 | 0.006160 | 0.014202 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.080389 | 0.065690 | 0.057527 | 0.000024 | 0.000024 | 0.000024 | 0.131311 | 0.207547 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.001560 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.017348 | 0.003284 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.000024 | 0.000024 |
|   Y    | 1.000000 | 0.000035 | 0.000035 | 0.000797 | 0.189016 | 0.043721 | 0.001010 | 0.000035 | 0.003232 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.072200 | 0.005550 | 0.001950 | 0.000035 | 0.000035 | 0.000035 | 0.000313 | 0.000461 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.000458 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.084800 | 0.595480 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.000035 | 0.000035 |
|   Z    | 1.000000 | 0.421735 | 0.000550 | 0.001464 | 0.007267 | 0.117851 | 0.019675 | 0.005080 | 0.008427 | 0.064346 | 0.000027 | 0.015545 | 0.077505 | 0.002728 | 0.011553 | 0.004916 | 0.003857 | 0.016609 | 0.005058 | 0.072108 | 0.004861 | 0.003053 | 0.002396 | 0.007098 | 0.004777 | 0.019166 | 0.000019 | 0.001872 | 0.000019 | 0.001828 | 0.002128 | 0.037767 | 0.000346 | 0.008193 | 0.000472 | 0.000019 | 0.000019 | 0.000942 | 0.016256 | 0.004286 | 0.000019 | 0.000019 | 0.028144 |
|   ZH   | 1.000000 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.997374 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000982 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000094 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 | 0.000040 |
+--------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
