+----------+------------+----------+----------+----------+----------+----------+------------+----------+----------+-----------+------------+----------+----------+-----------+----------+----------+-----------+----------+-----------+----------+----------+----------+----------+----------+-----------+-----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+----------+-----------+----------+----------+-----------+----------+----------+-----------+-----------+----------+----------+----------+----------+----------+
|  source  |    sum     | laughter |  noise   |   oov    |  <hes>   | <noise>  |   <sil>    |  <unk>   |    AA    |     AE    |     AH     |    AO    |    AW    |     AY    |    B     |    CH    |     D     |    DH    |     EH    |    ER    |    EY    |    F     |    G     |    HH    |     IH    |     IY    |    JH    |    K     |     L     |     M     |     N     |     NG    |     OW    |     OY    |    P     |     R     |    S     |    SH    |     T     |    TH    |    UH    |     UW    |     V     |    W     |    Y     |    Z     |    ZH    |  final   |
|    AE    | 47.493073  | 0.000134 | 0.000134 | 0.000134 | 0.000134 | 0.000134 |  1.696417  | 0.002362 | 0.000134 |  0.000147 |  0.010590  | 0.002150 | 0.000134 |  0.200790 | 0.177765 | 0.058455 |  0.640455 | 0.092877 |  0.000335 | 0.000134 | 0.000294 | 0.189545 | 0.232071 | 0.002123 |  0.063025 |  0.000134 | 0.021143 | 3.473972 |  0.062261 |  3.858805 |  2.586142 |  1.164553 |  0.010541 |  0.000134 | 0.446726 |  0.001826 | 5.426032 | 0.065705 | 16.737085 | 3.491502 | 0.000134 |  0.000134 |  4.601968 | 0.022199 | 0.211911 | 1.424186 | 0.053159 | 0.462344 |
|    AH    | 62.417197  | 0.000152 | 0.000152 | 0.000152 | 0.000152 | 0.000152 |  3.884603  | 0.015432 | 0.000387 |  0.005944 |  0.000180  | 0.000813 | 0.003269 |  0.000245 | 0.949291 | 0.141092 |  2.482108 | 1.342348 |  0.007163 | 0.000156 | 0.007456 | 1.364236 | 1.176584 | 1.185715 |  0.008402 |  0.004634 | 0.067130 | 2.277756 |  4.226871 |  6.903124 | 21.082033 |  0.071884 |  0.055494 |  0.000152 | 2.582519 |  2.678591 | 0.975306 | 0.012400 |  1.965785 | 0.124283 | 0.000152 |  0.002297 |  5.817559 | 0.761908 | 0.015268 | 0.168442 | 0.000152 | 0.047271 |
|    AO    | 50.084161  | 0.000161 | 0.000161 | 0.000161 | 0.000161 | 0.000161 |  0.025567  | 0.000161 | 0.000161 |  0.000161 |  0.009368  | 0.002095 | 0.000161 |  0.000161 | 0.000161 | 0.044166 |  0.006176 | 0.000396 |  0.000161 | 0.000172 | 0.000412 | 0.254849 | 0.902726 | 0.000161 |  0.015396 |  0.000161 | 0.000161 | 0.432900 | 18.499760 |  0.007985 |  7.336152 |  0.139152 |  0.001036 |  0.000161 | 0.001870 | 21.760704 | 0.383777 | 0.008917 |  0.188534 | 0.005169 | 0.000161 |  0.000161 |  0.000161 | 0.005955 | 0.000161 | 0.010668 | 0.000161 | 0.036882 |
|    AW    | 48.000435  | 0.000150 | 0.000150 | 0.000150 | 0.000150 | 0.000150 |  6.689717  | 0.002571 | 0.000337 |  0.057253 |  0.299953  | 0.043867 | 0.000787 |  1.309605 | 0.032273 | 0.221098 |  0.297432 | 0.495092 |  0.062742 | 0.272670 | 0.001162 | 0.033640 | 0.043384 | 0.222200 |  0.374494 |  0.000150 | 0.001038 | 0.023028 |  0.037818 |  0.219911 |  4.469990 |  0.000150 |  0.005087 |  0.000150 | 0.000277 |  0.001716 | 4.321836 | 0.001293 | 26.180294 | 0.072676 | 0.000150 |  0.009736 |  0.000150 | 0.394587 | 0.045159 | 0.076403 | 0.000150 | 1.677657 |
|    AY    | 43.357144  | 0.000115 | 0.000115 | 0.000115 | 0.000115 | 0.000115 |  2.296784  | 0.011482 | 0.001496 |  1.392148 |  0.056987  | 0.053442 | 0.013156 |  0.001041 | 0.053142 | 0.011112 |  1.629219 | 0.263497 |  0.030086 | 8.267282 | 0.000996 | 0.258472 | 0.985590 | 0.729528 |  0.072145 |  0.003247 | 0.149571 | 1.638663 |  1.279624 |  7.206468 |  3.282115 |  0.127328 |  0.012733 |  0.000115 | 0.256908 |  1.144622 | 0.475184 | 0.072251 |  7.321067 | 0.626454 | 0.000115 |  0.000145 |  2.604249 | 0.793688 | 0.039886 | 0.123480 | 0.000115 | 0.070933 |
|    B     | 49.020968  | 0.000133 | 0.000133 | 0.000133 | 0.000133 | 0.000133 |  0.042781  | 0.000139 | 0.109478 |  8.076488 |  4.178722  | 0.235098 | 0.584671 |  1.024630 | 0.000236 | 0.000133 |  0.006288 | 0.073716 |  6.825279 | 0.251673 | 0.069028 | 0.005657 | 0.021100 | 0.016629 |  3.067437 |  3.685257 | 0.020572 | 0.000133 |  2.805227 |  0.000133 |  0.000133 |  0.000133 |  0.267190 |  0.350660 | 0.000133 | 16.856701 | 0.060305 | 0.000133 |  0.012595 | 0.000133 | 0.041289 |  0.130243 |  0.009499 | 0.015087 | 0.045099 | 0.031143 | 0.000133 | 0.099185 |
|    CH    | 41.960683  | 0.000159 | 0.000159 | 0.000159 | 0.000159 | 0.000159 |  1.516503  | 0.052623 | 0.820356 |  0.206683 | 19.559883  | 0.077448 | 0.096354 |  0.485515 | 0.041477 | 0.010696 |  0.093410 | 0.300706 | 10.765629 | 0.779424 | 0.308819 | 0.194682 | 0.022353 | 0.048650 |  3.735149 |  0.869532 | 0.001001 | 0.087585 |  0.124848 |  0.148908 |  0.018634 |  0.000159 |  0.000456 |  0.070733 | 0.052158 |  0.024283 | 0.033267 | 0.000159 |  0.205959 | 0.000159 | 0.000159 |  0.511585 |  0.000159 | 0.285969 | 0.069095 | 0.000159 | 0.000159 | 0.338400 |
|    D     | 54.351288  | 0.000130 | 0.000130 | 0.000130 | 0.000130 | 0.000130 | 10.602349  | 0.023333 | 0.055265 |  1.730073 |  3.111947  | 3.093273 | 0.619689 |  5.628145 | 0.361011 | 0.120717 |  0.001671 | 4.135918 |  0.404379 | 0.628752 | 0.420508 | 0.412223 | 0.366270 | 0.293982 |  4.784698 |  1.130973 | 0.120803 | 0.050503 |  0.141657 |  0.316097 |  0.283409 |  0.000130 |  0.883107 |  0.000130 | 0.216034 |  4.511906 | 0.314477 | 0.031047 |  0.769169 | 0.065953 | 0.004219 |  2.194448 |  0.118958 | 0.881736 | 0.407463 | 3.541867 | 0.000130 | 1.572220 |
|    DH    | 57.943627  | 0.000151 | 0.000151 | 0.000151 | 0.000151 | 0.000151 |  0.003799  | 0.000151 | 0.000151 |  9.284416 | 26.721815  | 0.000151 | 0.000292 |  0.000151 | 0.000151 | 0.000151 |  0.000151 | 0.000146 |  8.654149 | 2.372786 | 0.327202 | 0.000151 | 0.000151 | 0.000154 |  6.234867 |  4.060658 | 0.000151 | 0.000151 |  0.000151 |  0.003672 |  0.000151 |  0.000151 |  0.274538 |  0.000151 | 0.000151 |  0.000151 | 0.000151 | 0.000151 |  0.000150 | 0.000151 | 0.000151 |  0.000151 |  0.000151 | 0.000150 | 0.000151 | 0.000151 | 0.000151 | 0.000152 |
|    EH    | 54.367909  | 0.000137 | 0.000137 | 0.000137 | 0.000137 | 0.000137 |  0.000711  | 0.000137 | 0.000137 |  0.000137 |  0.000137  | 0.000137 | 0.000137 |  0.000137 | 0.000137 | 0.000137 | 10.192021 | 0.039693 |  0.000137 | 0.000137 | 0.000137 | 0.520063 | 0.712607 | 0.000137 |  0.000137 |  0.000137 | 0.017991 | 5.610645 |  1.981531 |  0.215759 |  6.501503 |  0.037514 |  0.000137 |  0.000137 | 0.630069 | 13.031558 | 8.072054 | 0.048044 |  4.475004 | 0.025693 | 0.000137 |  0.000137 |  2.040837 | 0.000137 | 0.004361 | 0.194645 | 0.007503 | 0.004688 |
|    ER    | 33.895307  | 0.000099 | 0.000099 | 0.000099 | 0.000099 | 0.000099 |  8.951899  | 0.006220 | 0.004224 |  0.269634 |  1.174041  | 0.083036 | 0.522525 |  0.026177 | 2.786429 | 0.009198 |  0.477747 | 1.288366 |  0.173670 | 0.029586 | 0.019265 | 0.613439 | 0.467032 | 0.578467 |  2.412215 |  0.116547 | 0.092473 | 0.572831 |  0.142426 |  0.251942 |  2.783506 |  0.000099 |  0.006333 |  0.000099 | 0.613358 |  0.014432 | 3.293320 | 0.020042 |  0.496567 | 0.037624 | 0.000099 |  0.000281 |  0.062033 | 0.437764 | 0.257713 | 0.456738 | 0.000099 | 4.345317 |
|    EY    | 33.226934  | 0.000154 | 0.000154 | 0.000154 | 0.000154 | 0.000154 |  8.249853  | 0.005014 | 0.078791 |  0.024087 |  0.071422  | 0.009875 | 0.143035 |  0.337297 | 1.039853 | 0.011090 |  0.539714 | 0.126161 |  0.007458 | 0.190457 | 0.000172 | 0.917446 | 0.137479 | 0.039179 |  0.300950 |  0.006488 | 0.061177 | 4.178030 |  0.565737 |  3.870954 |  0.781568 |  0.000154 |  0.017121 |  0.000154 | 0.109163 |  0.000756 | 1.318865 | 0.257304 |  4.826628 | 0.027564 | 0.000154 |  0.003313 |  2.042715 | 0.155442 | 0.118113 | 0.278289 | 0.056936 | 2.320205 |
|    F     | 46.499433  | 0.000137 | 0.000137 | 0.000137 | 0.000137 | 0.000137 |  0.430611  | 0.000809 | 0.107665 |  0.143872 |  0.712772  | 7.068942 | 0.167584 | 23.874878 | 0.006967 | 0.000157 |  0.008251 | 0.328327 |  0.096401 | 7.166375 | 0.059715 | 0.000482 | 0.012474 | 0.018669 |  0.516972 |  0.404963 | 0.000149 | 0.010496 |  1.531014 |  0.000336 |  0.007824 |  0.000137 |  0.107424 |  0.005120 | 0.010817 |  1.574373 | 0.027099 | 0.001329 |  1.091849 | 0.005997 | 0.224123 |  0.014378 |  0.000137 | 0.127966 | 0.265787 | 0.000137 | 0.000137 | 0.365231 |
|    G     | 45.029611  | 0.000138 | 0.000138 | 0.000138 | 0.000138 | 0.000138 |  0.367325  | 0.007694 | 6.585886 |  0.035833 |  0.412345  | 0.097530 | 0.093677 |  0.334656 | 0.000732 | 0.000261 |  0.036546 | 0.084282 |  4.314402 | 0.158844 | 2.724569 | 0.009870 | 0.001992 | 0.034700 |  2.524095 |  0.039285 | 0.002968 | 0.007789 |  0.043825 |  0.000179 |  0.096943 |  0.000138 | 21.012918 |  0.000138 | 0.004951 |  1.870652 | 0.000187 | 0.000138 |  0.014412 | 0.001795 | 1.458772 |  0.013256 |  0.000138 | 1.354069 | 0.092726 | 0.967454 | 0.000138 | 0.220814 |
|    HH    | 40.776243  | 0.000134 | 0.000134 | 0.000134 | 0.000134 | 0.000134 |  0.000134  | 0.000134 | 0.616025 | 13.906358 |  0.958162  | 0.175026 | 3.492147 |  0.626059 | 0.000134 | 0.000134 |  0.000134 | 0.000134 |  3.993584 | 1.529279 | 0.258936 | 0.000134 | 0.000134 | 0.000134 |  0.295677 | 10.275618 | 0.000134 | 0.000134 |  0.000134 |  0.000883 |  0.000134 |  0.000134 |  3.860874 |  0.000134 | 0.000134 |  0.000134 | 0.000134 | 0.000134 |  0.000134 | 0.000134 | 0.012876 |  0.751069 |  0.000134 | 0.000699 | 0.018937 | 0.000134 | 0.000134 | 0.000134 |
|    IH    | 62.490999  | 0.000155 | 0.000155 | 0.000155 | 0.000155 | 0.000155 |  0.000321  | 0.000401 | 0.000167 |  0.000167 |  0.005042  | 0.000157 | 0.000190 |  0.000155 | 0.000367 | 1.945528 |  1.759439 | 0.014837 |  0.000346 | 0.000155 | 0.000177 | 0.425763 | 0.196441 | 0.104053 |  0.000153 |  0.000181 | 0.773594 | 4.546011 |  0.888865 |  0.968142 | 13.774377 | 17.978251 |  0.000845 |  0.000155 | 0.268973 |  0.447882 | 5.246063 | 0.702065 |  5.206241 | 0.966774 | 0.000155 |  0.000155 |  1.952896 | 0.002553 | 0.000176 | 4.303147 | 0.008711 | 0.000154 |
|    IY    | 41.160493  | 0.000117 | 0.000117 | 0.000117 | 0.000117 | 0.000117 |  7.096173  | 0.032746 | 0.050373 |  0.234755 |  1.124241  | 0.239100 | 0.208808 |  0.137351 | 0.225398 | 0.122920 |  1.242817 | 1.485702 |  0.328762 | 0.277608 | 0.147785 | 0.729217 | 1.637777 | 1.827202 |  1.354552 |  0.011663 | 0.080983 | 0.532015 |  0.875343 |  1.020050 |  1.372567 |  0.000117 |  7.683306 |  0.000117 | 1.053158 |  3.345565 | 0.530166 | 0.101657 |  1.047279 | 0.314780 | 0.000117 |  0.006767 |  1.002246 | 0.947121 | 0.099574 | 0.648291 | 0.000117 | 1.983621 |
|    JH    | 42.688366  | 0.000179 | 0.000179 | 0.000179 | 0.000179 | 0.000179 |  4.796487  | 0.019829 | 1.043598 |  0.061538 |  1.461876  | 0.364009 | 0.000179 |  0.193235 | 0.134891 | 0.000179 |  1.105687 | 0.309612 |  0.597078 | 6.149325 | 0.253966 | 0.338700 | 0.038633 | 0.651942 | 18.924242 |  1.397302 | 0.000179 | 0.133806 |  0.023056 |  0.018245 |  0.006778 |  0.000179 |  0.192562 |  0.405534 | 0.032893 |  0.013332 | 0.060653 | 0.031765 |  2.455655 | 0.015090 | 0.000179 |  0.098780 |  0.000179 | 0.053928 | 0.035488 | 0.000179 | 0.000179 | 1.266524 |
|    K     | 37.196510  | 0.000119 | 0.000119 | 0.000119 | 0.000119 | 0.000119 |  3.046759  | 0.001384 | 2.071666 |  1.042203 |  3.112126  | 0.791378 | 0.434347 |  0.217768 | 0.028349 | 0.083400 |  0.038190 | 0.861307 |  0.371395 | 0.256566 | 4.236867 | 0.058012 | 0.054280 | 0.109710 |  7.019945 |  0.281179 | 0.008227 | 0.006183 |  0.584475 |  0.208319 |  0.015714 |  0.000119 |  0.023268 |  0.000119 | 0.002559 |  0.230367 | 6.935292 | 1.236945 |  1.356402 | 0.019586 | 0.156523 |  0.274932 |  0.002469 | 0.604131 | 0.608362 | 0.000119 | 0.000119 | 0.804854 |
|    L     | 37.684801  | 0.000113 | 0.000113 | 0.000113 | 0.000113 | 0.000113 |  3.768523  | 0.006150 | 0.541787 |  0.714000 |  0.789435  | 0.219157 | 0.129287 |  1.408433 | 1.247536 | 0.042202 |  0.748272 | 0.445473 |  1.401116 | 0.055748 | 1.140488 | 1.775022 | 0.265639 | 0.306949 |  5.922088 |  3.186823 | 0.073702 | 0.071341 |  0.003641 |  0.340896 |  0.028219 |  0.000113 |  2.639976 |  0.000113 | 0.286700 |  5.023098 | 0.953830 | 0.018421 |  0.393380 | 0.024319 | 1.005383 |  0.676411 |  0.181362 | 0.262700 | 0.140392 | 0.463756 | 0.000113 | 0.982242 |
|    M     | 53.651054  | 0.000128 | 0.000128 | 0.000128 | 0.000128 | 0.000128 | 11.787252  | 0.006722 | 0.053827 |  3.176244 |  1.493563  | 2.633359 | 0.445804 |  2.992188 | 0.249809 | 0.036882 |  0.034897 | 0.228564 |  0.228620 | 0.075760 | 1.187980 | 0.073043 | 5.893417 | 0.290001 |  2.236840 |  7.412160 | 0.210333 | 0.007832 |  0.029965 |  0.003333 |  0.015902 |  0.000128 |  4.997285 |  0.000128 | 0.433839 |  0.512840 | 0.237340 | 0.002808 |  0.024446 | 0.123209 | 0.000128 |  2.862510 |  0.005956 | 0.440447 | 0.025089 | 0.566342 | 0.000128 | 2.613491 |
|    N     | 36.230852  | 0.000107 | 0.000107 | 0.000107 | 0.000107 | 0.000107 |  5.214231  | 0.003769 | 0.418641 |  0.110095 |  1.713537  | 0.066749 | 1.163037 |  0.386092 | 0.070420 | 0.034831 |  5.257099 | 4.957480 |  0.813463 | 0.178131 | 0.039519 | 0.466376 | 0.192574 | 0.214720 |  2.452741 |  0.443278 | 0.173531 | 0.072550 |  0.097737 |  0.137011 |  0.004609 |  0.000107 |  1.000886 |  0.009597 | 0.390662 |  0.031011 | 0.400023 | 0.138353 |  6.882716 | 0.033008 | 0.000107 |  0.299451 |  0.087500 | 0.131697 | 0.390880 | 0.320012 | 0.000107 | 1.431978 |
|    NG    | 56.755193  | 0.000120 | 0.000120 | 0.000120 | 0.000120 | 0.000120 |  9.634068  | 0.009736 | 0.064256 |  0.462880 |  0.954626  | 0.757767 | 1.307739 |  0.072819 | 0.017413 | 0.000426 |  0.036174 | 3.011568 |  0.107047 | 0.067258 | 0.014569 | 2.246453 | 1.678233 | 0.182913 |  1.909504 |  0.017513 | 0.011267 | 3.433519 |  0.048654 |  0.537294 |  0.018243 |  0.000120 |  0.018338 |  0.000120 | 0.092462 | 10.300159 | 0.105168 | 0.003947 | 17.436028 | 0.207853 | 0.000120 |  0.000899 |  0.022599 | 0.578220 | 0.058201 | 0.255797 | 0.000120 | 1.072511 |
|    OW    | 61.706994  | 0.000169 | 0.000169 | 0.000169 | 0.000169 | 0.000169 | 19.078320  | 0.001757 | 0.006256 |  0.008394 |  0.479352  | 0.023392 | 0.012386 |  0.937864 | 0.056837 | 0.061860 |  0.077554 | 0.967805 |  0.004894 | 0.012040 | 0.109305 | 0.213464 | 0.072031 | 0.027513 |  8.684086 |  0.000351 | 0.005978 | 8.974254 |  3.439287 |  6.959688 |  0.991969 |  0.000169 |  0.004103 |  0.000169 | 0.948784 |  0.000565 | 0.881383 | 0.022638 |  0.102990 | 0.426195 | 0.000169 |  0.004120 |  4.604234 | 1.051526 | 0.251296 | 0.432986 | 1.186133 | 0.582049 |
|    OY    | 53.050926  | 0.000205 | 0.000205 | 0.000205 | 0.000205 | 0.000205 |  0.553592  | 0.012974 | 0.000205 |  0.002351 |  0.013400  | 0.029225 | 0.160584 |  0.001972 | 0.000205 | 0.000205 |  0.167058 | 0.117440 |  0.000205 | 0.020145 | 0.000205 | 0.006097 | 0.000205 | 0.008166 |  0.125663 |  0.000205 | 0.019728 | 0.000205 |  0.383806 |  0.000219 | 50.684231 |  0.000205 |  0.006179 |  0.000205 | 0.000205 |  0.000205 | 0.096639 | 0.000205 |  0.000205 | 0.000205 | 0.000205 |  0.018012 |  0.000205 | 0.033810 | 0.001869 | 0.143203 | 0.000205 | 0.439851 |
|    P     | 42.712692  | 0.000121 | 0.000121 | 0.000121 | 0.000121 | 0.000121 |  1.491189  | 0.001932 | 0.722418 |  0.138490 |  3.407402  | 0.380264 | 0.068751 |  0.059107 | 0.022919 | 0.009831 |  0.252122 | 0.385102 |  0.854951 | 5.419396 | 0.290572 | 0.287931 | 0.097649 | 0.056185 |  1.309670 |  4.339309 | 0.018950 | 0.012233 |  3.868402 |  0.058769 |  0.009352 |  0.000121 |  0.118439 | 10.672344 | 0.000688 |  3.687777 | 0.323900 | 0.022160 |  0.408775 | 0.018582 | 3.101332 |  0.035363 |  0.000121 | 0.080403 | 0.059145 | 0.000121 | 0.000121 | 0.619797 |
|    R     | 42.870055  | 0.000121 | 0.000121 | 0.000121 | 0.000121 | 0.000121 |  4.695258  | 0.001561 | 4.370933 |  0.241636 |  1.373106  | 0.070976 | 0.052113 |  4.009381 | 0.039101 | 0.048570 |  0.808837 | 0.442692 |  3.709533 | 0.063079 | 0.391107 | 0.727952 | 0.070426 | 0.025696 |  1.403917 |  3.536732 | 0.010067 | 0.030679 |  0.023757 |  0.153535 |  0.120044 |  0.000121 |  5.517920 |  0.013035 | 0.138181 |  0.001720 | 0.112647 | 0.034175 |  0.537591 | 0.039808 | 0.004676 |  6.553151 |  0.005339 | 0.336467 | 0.129598 | 1.597338 | 0.000121 | 1.426876 |
|    S     | 52.371467  | 0.000129 | 0.000129 | 0.000129 | 0.000129 | 0.000129 |  7.222854  | 0.009849 | 0.415286 |  0.082727 |  5.951301  | 0.312133 | 0.158320 |  0.896938 | 0.039726 | 0.025347 |  0.106824 | 0.226681 |  1.160732 | 0.146337 | 1.292839 | 0.220209 | 0.402971 | 0.116885 |  3.057543 |  1.286276 | 0.125129 | 0.329651 |  0.656375 |  5.045578 |  0.117903 |  0.000129 |  5.048892 |  0.000129 | 3.322249 |  0.110160 | 0.010679 | 0.004814 | 12.344640 | 0.011725 | 0.002621 |  0.123458 |  0.097442 | 0.550383 | 0.088596 | 0.000129 | 0.000129 | 1.248236 |
|    SH    | 38.598470  | 0.000155 | 0.000155 | 0.000155 | 0.000155 | 0.000155 |  1.254957  | 0.022191 | 0.151753 |  0.078931 | 20.788862  | 0.301860 | 0.197758 |  0.063310 | 0.047471 | 0.000155 |  0.003062 | 3.417775 |  0.282129 | 0.140662 | 0.141285 | 0.094341 | 0.006483 | 0.000662 |  2.936791 |  1.432072 | 0.000155 | 0.000155 |  0.016645 |  0.007999 |  0.015884 |  0.000155 |  0.238673 |  0.000155 | 0.029746 |  0.000155 | 0.277077 | 0.000155 |  0.503365 | 0.017309 | 5.023697 |  0.473223 |  0.000155 | 0.118913 | 0.077184 | 0.000155 | 0.000155 | 0.434071 |
